requested_density,priority_scenario,treatment_mode,controller_fraction,pairs,priority_speed_delta_mean,priority_speed_delta_ci95_low,priority_speed_delta_ci95_high,worst_priority_speed_delta_mean,worst_priority_speed_delta_ci95_low,worst_priority_speed_delta_ci95_high,background_flow_ratio_mean,background_flow_loss_mean,sufficient_pairs,pv_improvement_significant,background_flow_acceptable,effective_region
0.25,two-2g,baseline2_matched_0.050,0.05,10,0.02775000000000003,0.005024375000000062,0.04907500000000002,0.028200000000000003,0.00229999999999988,0.053850000000000044,0.9995722795685976,0.0004277204314023786,True,True,True,True
0.25,two-2g,baseline2_matched_0.200,0.2,10,0.10637499999999997,0.08564999999999987,0.1290000000000001,0.09689999999999999,0.07515000000000009,0.11854999999999993,0.9986937946207737,0.0013062053792263217,True,True,True,True
0.25,two-2g,baseline2_matched_0.350,0.35,10,0.170025,0.13889937500000007,0.200975,0.17054999999999998,0.14044875000000004,0.2016999999999999,0.9968321718308036,0.003167828169196363,True,True,True,True
0.25,two-2g,baseline2_matched_0.500,0.5,10,0.27979999999999994,0.255274375,0.30520124999999987,0.28209999999999996,0.25789999999999985,0.30755,0.9966026356565015,0.0033973643434984657,True,True,True,True
0.25,two-2g,baseline2_matched_0.650,0.65,10,0.376525,0.339125,0.41402562499999995,0.3746,0.33590000000000014,0.41659999999999986,0.9949006942012419,0.005099305798758058,True,True,True,True
0.25,two-2g,baseline2_matched_0.800,0.8,10,0.519975,0.5036250000000001,0.536825625,0.51665,0.49795,0.5345000000000001,0.992777020522969,0.0072229794770309885,True,True,True,True
0.25,two-2g,baseline2_matched_0.950,0.95,10,0.7639250000000001,0.7349731250000001,0.790850625,0.7524000000000001,0.7183000000000002,0.7825000000000001,0.9883748959536257,0.01162510404637429,True,True,True,True
0.25,two-g,baseline2_all_hdv_yield,1.0,10,1.091125,1.0329943750000001,1.1383999999999996,1.08815,1.0309500000000003,1.1361012499999996,0.9864275673774558,0.01357243262254415,True,True,True,True
0.25,two-g,baseline2_matched_0.050,0.05,10,-0.003450000000000042,-0.023375000000000055,0.017925624999999917,-0.007950000000000035,-0.03115000000000001,0.014202499999999906,0.9988080874074093,0.0011919125925906604,True,False,True,False
0.25,two-g,baseline2_matched_0.200,0.2,10,0.09637500000000002,0.06302499999999997,0.128875625,0.10280000000000004,0.06835000000000009,0.13465124999999992,0.9982792487029277,0.001720751297072276,True,True,True,True
0.25,two-g,baseline2_matched_0.350,0.35,10,0.1491249999999999,0.12277437500000003,0.17550124999999991,0.14980000000000002,0.12100000000000008,0.17975124999999997,0.9976949197893965,0.002305080210603494,True,True,True,True
0.25,two-g,baseline2_matched_0.500,0.5,10,0.2573749999999999,0.23457437499999997,0.28069999999999984,0.24914999999999993,0.2217499999999999,0.2739999999999999,0.995198195332951,0.004801804667049048,True,True,True,True
0.25,two-g,baseline2_matched_0.650,0.65,10,0.36527499999999996,0.33847437499999994,0.38982625,0.3498,0.3174500000000001,0.3801499999999999,0.9942323975521816,0.005767602447818376,True,True,True,True
0.25,two-g,baseline2_matched_0.800,0.8,10,0.5260999999999999,0.49847437499999986,0.5560499999999999,0.52015,0.49369874999999985,0.5474,0.9919117547149737,0.008088245285026274,True,True,True,True
0.25,two-g,baseline2_matched_0.950,0.95,10,0.7960499999999999,0.7805743749999998,0.8147749999999998,0.7795,0.75525,0.80675125,0.9881462449893643,0.01185375501063568,True,True,True,True
0.3,one,baseline2_all_hdv_yield,1.0,10,0.97355,0.9383000000000002,1.006,0.97355,0.9385425000000001,1.0060999999999998,0.9912646927679145,0.008735307232085487,True,True,True,True
0.3,one,baseline2_matched_0.050,0.05,10,0.03375000000000008,0.008847500000000005,0.059900000000000106,0.03375000000000008,0.007850000000000086,0.06075125000000002,0.9995650402647385,0.00043495973526153087,True,True,True,True
0.3,one,baseline2_matched_0.200,0.2,10,0.1041,0.06705000000000001,0.1381499999999999,0.1041,0.06629874999999996,0.13890125,0.998426944416335,0.0015730555836650506,True,True,True,True
0.3,one,baseline2_matched_0.350,0.35,10,0.18599999999999994,0.16994999999999996,0.20229999999999992,0.18599999999999994,0.1697987499999999,0.2023999999999999,0.9987897615874799,0.0012102384125201038,True,True,True,True
0.3,one,baseline2_matched_0.500,0.5,10,0.28805000000000003,0.25905000000000006,0.31950124999999996,0.28805000000000003,0.25805,0.31955,0.997138882170565,0.0028611178294349893,True,True,True,True
0.3,one,baseline2_matched_0.650,0.65,10,0.37679999999999997,0.34085,0.41435124999999995,0.37679999999999997,0.34225000000000005,0.41390124999999994,0.9966039511216904,0.0033960488783095766,True,True,True,True
0.3,one,baseline2_matched_0.800,0.8,10,0.5188,0.48550000000000004,0.5476512499999997,0.5188,0.48429875000000017,0.5479999999999999,0.9964396528162064,0.0035603471837936107,True,True,True,True
